skygroup,season,n_transits,n_tces,n_days,transits_per_day,channel
1,0,39,8,369.3986369999984,0.10557700027463872,81
1,1,30,7,373.42409999998927,0.08033761077552537,29
1,2,29,8,325.28240000001097,0.08915330186938802,1
1,3,35,7,347.63679499999853,0.10067979138974673,53
2,0,24,6,369.3986369999984,0.06497046170746998,82
2,1,24,7,373.42409999998927,0.06427008862042029,30
2,2,29,7,325.28240000001097,0.08915330186938802,2
2,3,26,7,347.63679499999853,0.07479070217524042,54
3,0,21,5,369.3986369999984,0.056849153994036235,83
3,1,22,5,373.42409999998927,0.058914247902051936,31
3,2,19,5,325.28240000001097,0.05841078398339215,3
3,3,22,5,347.63679499999853,0.06328444030212652,55
4,0,23,10,369.3986369999984,0.0622633591363254,84
4,1,21,8,373.42409999998927,0.05623632754286776,32
4,2,19,9,325.28240000001097,0.05841078398339215,4
4,3,17,7,347.63679499999853,0.04890161296073412,56
5,0,32,8,369.3986369999984,0.08662728227662664,77
5,1,33,9,373.42409999998927,0.0883713718530779,49
5,2,7,5,325.28240000001097,0.02151976252019711,5
5,3,22,6,347.63679499999853,0.06328444030212652,33
6,0,38,10,369.3986369999984,0.10286989770349414,78
6,1,43,10,373.42409999998927,0.11515057544491969,50
6,2,9,8,325.28240000001097,0.027668266097396282,6
6,3,35,10,347.63679499999853,0.10067979138974673,34
7,0,45,12,369.3986369999984,0.1218196157015062,79
7,1,48,14,373.42409999998927,0.12854017724084058,51
7,2,13,11,325.28240000001097,0.03996527325179463,7
7,3,44,13,347.63679499999853,0.12656888060425303,35
8,0,15,4,369.3986369999984,0.04060653856716874,80
8,1,20,5,373.42409999998927,0.05355840718368358,52
8,2,5,4,325.28240000001097,0.015371258942997935,8
8,3,13,4,347.63679499999853,0.03739535108762021,36
9,0,15,6,369.3986369999984,0.04060653856716874,73
9,1,18,8,373.42409999998927,0.04820256646531522,69
9,2,15,7,325.28240000001097,0.046113776828993806,9
9,3,17,7,347.63679499999853,0.04890161296073412,13
10,0,14,5,369.3986369999984,0.037899435996024154,74
10,1,18,5,373.42409999998927,0.04820256646531522,70
10,2,21,5,325.28240000001097,0.06455928756059133,10
10,3,15,4,347.63679499999853,0.04314848202417717,14
11,0,13,3,369.3986369999984,0.035192333424879575,75
11,1,14,2,373.42409999998927,0.0374908850285785,71
11,2,13,2,325.28240000001097,0.03996527325179463,11
11,3,15,3,347.63679499999853,0.04314848202417717,15
12,0,21,7,369.3986369999984,0.056849153994036235,76
12,1,22,8,373.42409999998927,0.058914247902051936,72
12,2,20,8,325.28240000001097,0.06148503577199174,12
12,3,18,7,347.63679499999853,0.051778178429012604,16
13,0,36,10,369.3986369999984,0.09745569256120497,69
13,1,37,9,373.42409999998927,0.09908305328981462,9
13,2,37,10,325.28240000001097,0.11374731617818472,13
13,3,29,8,347.63679499999853,0.08342039858007586,73
14,0,23,10,369.3986369999984,0.0622633591363254,70
14,1,29,10,373.42409999998927,0.07765969041634119,10
14,2,19,7,325.28240000001097,0.05841078398339215,14
14,3,21,7,347.63679499999853,0.06040787483384804,74
15,0,43,11,369.3986369999984,0.11640541055921705,71
15,1,48,12,373.42409999998927,0.12854017724084058,11
15,2,36,9,325.28240000001097,0.11067306438958513,15
15,3,41,11,347.63679499999853,0.1179391841994176,75
16,0,53,14,369.3986369999984,0.14347643627066287,72
16,1,51,13,373.42409999998927,0.13657393831839312,12
16,2,46,13,325.28240000001097,0.141415582275581,16
16,3,42,13,347.63679499999853,0.12081574966769608,76
17,0,34,8,369.3986369999984,0.09204148741891581,65
17,1,32,8,373.42409999998927,0.08569345149389372,25
17,2,34,8,325.28240000001097,0.10452456081238595,17
17,3,24,8,347.63679499999853,0.06903757123868347,57
18,0,44,10,369.3986369999984,0.11911251313036163,66
18,1,48,9,373.42409999998927,0.12854017724084058,26
18,2,45,8,325.28240000001097,0.1383413304869814,18
18,3,47,10,347.63679499999853,0.13519857700908847,58
19,0,23,8,369.3986369999984,0.0622633591363254,67
19,1,17,7,373.42409999998927,0.04552464610613104,27
19,2,14,6,325.28240000001097,0.04303952504039422,19
19,3,16,6,347.63679499999853,0.046025047492455645,59
20,0,28,7,369.3986369999984,0.07579887199204831,68
20,1,23,8,373.42409999998927,0.06159216826123611,28
20,2,29,8,325.28240000001097,0.08915330186938802,20
20,3,33,9,347.63679499999853,0.09492666045318977,60
21,0,49,13,369.3986369999984,0.13264802598608455,61
21,1,49,14,373.42409999998927,0.13121809760002476,45
21,2,45,12,325.28240000001097,0.1383413304869814,21
21,3,47,13,347.63679499999853,0.13519857700908847,37
22,0,31,9,369.3986369999984,0.08392017970548206,62
22,1,17,5,373.42409999998927,0.04552464610613104,46
22,2,11,4,325.28240000001097,0.03381676967459546,22
22,3,18,6,347.63679499999853,0.051778178429012604,38
23,0,40,11,369.3986369999984,0.1082841028457833,63
23,1,31,9,373.42409999998927,0.08301553113470955,47
23,2,32,11,325.28240000001097,0.09837605723518679,23
23,3,35,9,347.63679499999853,0.10067979138974673,39
24,0,46,12,369.3986369999984,0.1245267182726508,64
24,1,48,13,373.42409999998927,0.12854017724084058,48
24,2,44,14,325.28240000001097,0.13526707869838184,24
24,3,46,14,347.63679499999853,0.13232201154081,40
25,0,27,10,369.3986369999984,0.07309176942090373,57
25,1,23,9,373.42409999998927,0.06159216826123611,65
25,2,25,10,325.28240000001097,0.07685629471498967,25
25,3,22,10,347.63679499999853,0.06328444030212652,17
26,0,34,13,369.3986369999984,0.09204148741891581,58
26,1,30,13,373.42409999998927,0.08033761077552537,66
26,2,21,10,325.28240000001097,0.06455928756059133,26
26,3,21,9,347.63679499999853,0.06040787483384804,18
27,0,18,4,369.3986369999984,0.048727846280602484,59
27,1,17,4,373.42409999998927,0.04552464610613104,67
27,2,16,5,325.28240000001097,0.049188028617593395,27
27,3,18,5,347.63679499999853,0.051778178429012604,19
28,0,17,5,369.3986369999984,0.046020743709457905,60
28,1,31,9,373.42409999998927,0.08301553113470955,68
28,2,20,7,325.28240000001097,0.06148503577199174,28
28,3,19,6,347.63679499999853,0.05465474389729108,20
29,0,18,5,369.3986369999984,0.048727846280602484,53
29,1,19,5,373.42409999998927,0.0508804868244994,81
29,2,15,5,325.28240000001097,0.046113776828993806,29
29,3,17,4,347.63679499999853,0.04890161296073412,1
30,0,34,8,369.3986369999984,0.09204148741891581,54
30,1,44,9,373.42409999998927,0.11782849580410387,82
30,2,44,10,325.28240000001097,0.13526707869838184,30
30,3,35,9,347.63679499999853,0.10067979138974673,2
31,0,7,3,369.3986369999984,0.018949717998012077,55
31,1,6,3,373.42409999998927,0.016067522155105072,83
31,2,1,1,325.28240000001097,0.003074251788599587,31
31,3,7,3,347.63679499999853,0.020135958277949347,3
32,0,20,8,369.3986369999984,0.05414205142289165,56
32,1,19,9,373.42409999998927,0.0508804868244994,84
32,2,18,9,325.28240000001097,0.055336532194792565,32
32,3,13,6,347.63679499999853,0.03739535108762021,4
33,0,77,17,369.3986369999984,0.20844689797813284,49
33,1,15,13,373.42409999998927,0.040168805387762685,5
33,2,71,18,325.28240000001097,0.21827187699057068,33
33,3,73,17,347.63679499999853,0.2099892791843289,77
34,0,45,13,369.3986369999984,0.1218196157015062,50
34,1,6,6,373.42409999998927,0.016067522155105072,6
34,2,41,14,325.28240000001097,0.12604432333258306,34
34,3,43,14,347.63679499999853,0.12369231513597455,78
35,0,22,8,369.3986369999984,0.059556256565180814,51
35,1,2,1,373.42409999998927,0.005355840718368358,7
35,2,24,8,325.28240000001097,0.07378204292639008,35
35,3,22,7,347.63679499999853,0.06328444030212652,79
36,0,16,6,369.3986369999984,0.04331364113831332,52
36,1,2,2,373.42409999998927,0.005355840718368358,8
36,2,16,5,325.28240000001097,0.049188028617593395,36
36,3,17,6,347.63679499999853,0.04890161296073412,80
37,0,68,18,369.3986369999984,0.18408297483783162,45
37,1,68,18,373.42409999998927,0.18209858442452417,21
37,2,62,18,325.28240000001097,0.1906036108931744,37
37,3,66,19,347.63679499999853,0.18985332090637955,61
38,0,60,14,369.3986369999984,0.16242615426867496,46
38,1,50,13,373.42409999998927,0.13389601795920894,22
38,2,47,11,325.28240000001097,0.1444898340641806,38
38,3,50,13,347.63679499999853,0.1438282734139239,62
39,0,87,22,369.3986369999984,0.23551792368957866,47
39,1,76,21,373.42409999998927,0.2035219472979976,23
39,2,71,19,325.28240000001097,0.21827187699057068,39
39,3,74,20,347.63679499999853,0.21286584465260736,63
40,0,55,14,369.3986369999984,0.14889064141295202,48
40,1,55,15,373.42409999998927,0.14728561975512983,24
40,2,50,15,325.28240000001097,0.15371258942997934,40
40,3,46,15,347.63679499999853,0.13232201154081,64
41,0,15,4,369.3986369999984,0.04060653856716874,43
41,1,23,6,373.42409999998927,0.06159216826123611,44
41,2,18,5,325.28240000001097,0.055336532194792565,41
41,3,16,4,347.63679499999853,0.046025047492455645,42
42,0,36,12,369.3986369999984,0.09745569256120497,44
42,1,25,10,373.42409999998927,0.06694800897960447,41
42,2,24,8,325.28240000001097,0.07378204292639008,42
42,3,27,11,347.63679499999853,0.0776672676435189,43
43,0,31,11,369.3986369999984,0.08392017970548206,41
43,1,33,12,373.42409999998927,0.0883713718530779,42
43,2,32,10,325.28240000001097,0.09837605723518679,43
43,3,41,13,347.63679499999853,0.1179391841994176,44
44,0,24,10,369.3986369999984,0.06497046170746998,42
44,1,28,11,373.42409999998927,0.074981770057157,43
44,2,27,11,325.28240000001097,0.08300479829218885,44
